Concept,definition,uni_lemma,Num_Func,Num_Vis_Mot,Num_VisFandS,Num_Vis_Col,Num_Sound,Num_Taste,Num_Smell,Num_Tact,Num_Percep,Num_Ency,Num_Tax,LemmaID,Sign,bglm_aoa_ASL,empirical_aoa_ASL,category,lexical_category,aoa,DF_aoa,CHILDES.count,CHILDES.freq.pm,CHILDES.ln_freq.pm,SignFrequency(Z)
lollipop,lollipop,lollipop,3,0,3,1,0,2,0,2,8,2,1,lollipop,LOLLIPOP,27,26,food_drink,nouns,26.73891841,27,73,31.818982245879656,3.4600630376677493,-0.518
man,man,man,0,0,2,0,0,0,0,0,2,4,2,man,MAN,31,23,people,other,24.76418293,22,1221,532.2051687975214,6.277029070630063,0.699
medicine,medicine,medicine,3,0,2,0,0,1,0,0,3,3,1,medicine,MEDICINE,34,28,household,nouns,23.70381663,23,214,93.27756439203078,4.53557961154121,0.338
melon,melon,melon,0,0,3,2,0,2,0,1,8,3,3,melon,PUMPKIN,26,20,food_drink,nouns,27.40429592,27,16,6.974023505946227,1.9421923187591397,-0.322
milk,milk,milk,3,0,1,1,0,1,0,0,3,4,2,milk,MILK,14,9,food_drink,nouns,17.64123586,19,1205,525.2311452915752,6.263838442444114,1.15
mommy,mommy*,mommy,0,0,0,0,0,0,0,0,0,7,3,mother,MOTHER,20,14,people,other,10.086349076,16,9596,4182.670597691249,8.338705220478943,1.232
money,money,money,1,0,2,1,0,0,0,0,3,3,3,money,MONEY,39,34,household,nouns,22.84704748,22,341,148.63387597047898,5.001486073802876,0.915
monkey,monkey,monkey,0,3,2,1,0,0,0,1,7,4,3,monkey,MONKEY,27,16,animals,nouns,20.96934574,21,750,326.90735184122934,5.789676803049715,-0.363
moon,moon,moon,0,0,4,1,0,0,0,0,5,8,1,moon,MOON,27,28,outside,nouns,20.28989383,21,452,197.0161640429809,5.2832857763515895,0.179
mop,mop,mop,3,0,3,0,0,0,0,0,3,3,0,mop,MOP,42,19,household,nouns,28.44982684,30,45,19.614441110473763,2.976266086289678,-0.145
motorcycle,motorcycle,motorcycle,2,1,6,0,1,0,0,0,8,4,1,motorcycle,MOTORCYCLE,30,16,vehicles,nouns,24.76355429,23,270,117.68664666284258,4.768025555517733,-0.228
mouse,mouse,mouse,2,2,5,2,1,0,0,0,10,5,2,mouse,MOUSE,27,16,animals,nouns,22.49370439,21,818,356.54695174150083,5.876465933122105,-0.321
mouth,mouth,mouth,6,0,6,0,0,0,0,0,6,1,0,mouth,MOUTH,27,16,body_parts,nouns,19.73968295,19,1233,537.4356864269811,6.286809099683703,-0.616
movies,movie,movie,1,0,0,0,0,0,0,0,0,9,2,movie,MOVIE,34,30,places,other,26.43939978,29,100,43.58764691216391,3.7747737825074497,0.683
napkin,napkin,napkin,5,0,3,2,0,0,0,1,6,3,0,napkin,NAPKIN,32,22,household,nouns,24.15536324,23,164,71.48374093594882,4.269470024343557,0.056
necklace,necklace,necklace,3,0,8,0,0,0,0,0,8,4,2,necklace,NECKLACE,36,28,clothing,nouns,25.05522804,24,102,44.459399850407195,3.7945764098036294,-0.426
nurse,nurse,nurse,1,0,1,0,0,0,0,0,1,5,1,nurse,NURSE,43,28,people,other,31.16947702,NA,130,56.66394098581309,4.037138046974941,-0.164
nuts,nuts,nuts,2,0,1,0,0,0,0,1,2,2,6,nut,NUT,35,26,food_drink,nouns,26.67861849,26,107,46.63878219601539,3.842432430981265,0.066
orange,orange (food),orange (food),2,0,3,1,0,2,0,1,7,2,2,orange,ORANGE,28,18,food_drink,nouns,22.25372528,22,554,241.47556389338808,5.486768283266642,0.605
outside,outside,outside,1,0,5,0,0,0,0,2,7,8,0,outside,OUTSIDE,25,15,places,other,19.51690062,19,31,13.512170542770814,2.603590801004505,0.634
owl,owl,owl,0,2,4,1,1,0,0,0,8,3,2,owl,OWL,29,18,animals,nouns,23.13649325,22,296,129.0194348600052,4.859963050843419,-0.806
pants,pants,pants,5,0,11,1,0,0,0,0,12,1,3,pants,PANTS-LEG,39,28,clothing,nouns,21.74379025,21,288,125.53242310703207,4.832564076655304,-0.185
paper,paper,paper,4,0,0,2,0,0,0,0,2,3,0,paper,PAPER,31,19,household,nouns,22.18409273,21,1336,582.33096274651,6.3670389506159495,1.297
party,party,party,0,0,3,0,2,0,0,0,5,3,4,party,PARTY,39,35,places,other,25.3846255,26,261,113.76375844074784,4.734124003842052,0.611
peanut_butter,peanut butter,peanut butter,3,0,1,1,0,1,0,5,8,2,0,peanut_butter,PEANUT-BUTTER,31,27,food_drink,nouns,24.03005852,23,127,55.35631157844817,4.01379068297795,0.095
pencil,pencil,pencil,4,0,7,1,0,0,0,0,8,3,1,pencil,PENCIL,34,28,toys,nouns,24.59542866,25,363,158.22315829115502,5.064006430784209,0.235
penny,penny,penny,2,0,7,0,0,0,0,0,7,2,2,penny,CENT,55,34,household,nouns,26.09981882,25,165,71.91961740507047,4.275549070419939,-0.719
people,people,people,0,0,1,0,1,0,0,0,2,2,3,people,PEOPLE,50,23,people,other,26.44488967,26,1259,548.7684746241438,6.307676630563706,0.865
person,person,person,0,0,0,0,0,0,0,0,0,2,2,person,PERSON,42,35,people,other,31.54978586,NA,1259,548.7684746241438,6.307676630563706,0.09
picture,picture,picture,1,0,1,1,0,0,0,0,2,4,2,picture,PICTURE,38,28,household,nouns,23.51323389,23,1962,855.1896324166561,6.751323236644667,1.302
pig,pig,pig,4,1,8,1,2,0,1,0,13,2,3,pig,PIG,28,28,animals,nouns,20.32578605,19,899,391.8529457403536,5.970886630990979,-0.014
plate,plate,plate,4,0,10,1,0,0,0,0,11,4,1,plate,PLATE,29,19,household,nouns,23.45700219,23,258,112.45612903338292,4.722563181440976,0.354
